area;suites;bathrooms;parkings;value
85;1;2;1;1390000
136;1;3;1;1590000
122;1;3;1;1700000
136;1;1;2;1800000
82;1;3;1;1190000
220;1;3;1;1950000
136;1;3;1;1500000
71;1;2;3;1220461
70;2;3;1;1200000
70;2;3;2;8,00E+05
110;2;2;1;1350000
100;1;3;1;980000
142;1;3;2;1700000
228;1;1;1;2190000
162;2;3;2;1600000
124;1;3;2;1380000
195;2;2;2;5161001
29;1;1;1;4,00E+05
80;1;2;1;990000
70;1;2;1;1027000
173;1;3;2;1750000
140;1;3;1;1386000
151;1;3;3;2600000
135;1;3;2;1700000
188;1;3;2;2600000
190;1;1;2;1850000
202;1;1;1;1800000
96;1;2;1;1350000
149;1;3;1;1590000
120;1;2;1;1190000
220;1;1;1;2300000
144;1;3;1;1915000
170;1;3;1;1670000
238;1;3;1;3980000
204;1;1;1;2300000
220;1;3;1;1950000
146;1;3;1;1280000
120;1;3;2;1200000
85;1;2;1;1100000
230;1;3;2;2800000
159;1;3;1;1550000
300;1;3;2;4500000
95;1;2;1;1100000
300;1;3;2;3700000
163;1;2;1;1600000
70;1;1;1;1014897
110;1;3;1;1400000
141;1;3;1;1280000
189;1;3;1;1980000
155;1;3;1;1850000
144;1;3;1;1450000
94;2;2;2;1549000
115;1;3;1;1350000
161;1;3;1;2130000
132;1;3;1;1550000
123;1;3;1;1252000
75;1;3;1;8,00E+05
140;1;3;1;1700000
197;1;3;2;2500000
161;3;3;2;3590000
88;2;2;1;1450000
184;1;3;1;2350000
142;1;3;2;1700000
94;1;3;1;1290000
70;1;2;1;1348500
140;2;2;1;1750000
60;1;1;1;1050000
120;1;3;2;1399000
114;1;2;1;1650000
150;1;3;2;1700000
164;1;3;2;1450000
222;3;1;2;3290000
95;1;2;1;1100000
90;2;3;2;1490000
172;1;3;1;1380000
188;1;3;2;2600000
139;1;3;1;1300000
115;1;1;2;1500000
155;1;3;2;1800000
280;1;3;3;3200000
140;1;2;1;1596000
160;1;3;2;1580000
170;1;1;1;1800000
220;2;3;2;4400000
70;1;2;1;1038672
100;1;3;1;1,00E+06
115;1;3;1;1350000
159;1;3;1;1700000
240;1;3;2;2650000
70;1;2;1;1020000
70;1;2;1;1019000
70;2;2;1;1197109
153;1;3;1;2150000
105;1;3;2;1498000
155;1;1;2;2350000
109;1;3;1;1550000
153;1;3;1;2150000
136;1;1;3;1700000
125;1;3;2;1650000
203;1;3;1;2400000
151;1;3;1;1548000
143;1;3;2;2300000
117;1;3;1;1600000
112;1;1;1;1200000
112;2;2;1;1790000
115;1;3;1;1350000
180;1;3;1;1880000
151;2;3;3;2850000
140;1;2;1;1710000
189;1;3;1;1900000
120;1;3;2;1500000
115;1;2;1;1300000
145;1;3;3;2500000
90;2;2;2;1700000
144;1;3;1;1915000
169;1;3;1;1750000
139;2;3;3;2800000
113;1;3;2;1600000
127;1;3;1;1650000
162;1;3;1;1750000
250;2;3;2;2389000
136;1;3;1;1590000
170;1;2;2;1350000
248;1;3;1;2800000
81;1;3;1;1280000
122;1;3;2;1500000
90;1;3;1;840000
142;1;3;2;1698000
70;1;1;1;1202974
96;1;3;1;1350000
118;1;3;1;1580000
126;2;1;2;1300000
40;1;1;1;560000
206;1;3;2;2200000
155;1;1;1;1900000
150;1;3;1;1850000
90;2;2;2;1450000
150;2;3;3;1590000
208;1;3;1;1500000
189;1;3;1;1900000
150;2;3;2;2145000
143;1;3;2;2300000
138;1;2;2;1650000
142;1;1;1;1390000
140;1;3;1;1700000
106;1;3;2;1850000
227;1;3;2;3160000
140;1;2;1;1500000
200;1;3;1;1900000
110;1;3;1;1200000
70;1;2;1;1028000
124;2;3;2;1680000
142;1;3;2;1687400
184;1;1;2;2500000
112;1;3;1;1690000
103;2;3;1;1350000
191;1;3;2;1935000
110;1;3;1;1290000
162;1;1;1;1750000
118;2;3;2;2547000
105;2;3;1;1300000
150;1;3;1;2,00E+06
190;1;3;1;2200000
193;1;1;1;2050000
189;1;1;1;1460000
60;1;1;1;1041861
119;2;3;2;2100000
165;1;3;2;1980000
158;1;1;1;2250000
151;1;3;3;2800000
146;3;3;2;1800000
87;2;2;1;880000
250;2;3;2;2389000
208;1;1;2;2500000
203;1;2;2;2199000
187;1;3;1;1700000
136;1;3;2;1700000
100;1;2;1;1170000
71;1;2;1;1172000
165;1;2;2;1800000
80;1;2;1;840000
81;1;2;1;1270000
90;1;3;1;840000
55;1;1;1;980000
156;2;2;1;1800000
110;1;1;1;1485000
207;1;3;2;2100000
103;1;2;1;1200000
110;1;3;1;1485000
100;1;2;1;1240000
151;1;3;1;1700000
101;2;2;1;1370000
154;1;2;1;1800000
150;2;3;3;1590000
71;1;2;1;990000
85;1;2;1;940000
169;1;3;1;1800000
300;1;3;2;3900000
70;1;2;1;869076
150;1;1;1;1595000
155;1;3;1;1650000
92;2;3;2;1490000
117;1;1;1;1200000
169;1;2;2;2,00E+06
86;2;3;2;1400000
140;1;3;1;1600000
130;1;3;1;1500000
115;1;3;1;1290000
70;1;2;1;1170000
142;1;3;1;1150000
115;1;3;1;1170000
115;1;3;2;1494000
94;1;3;1;1530000
136;1;3;1;1450000
180;1;3;2;1650000
163;1;3;1;1600000
255;2;2;2;3800000
186;1;1;1;1600000
113;2;2;1;1400000
115;1;2;2;1495000
159;1;3;1;1690000
115;1;3;1;1150000
71;1;2;1;1195000
146;1;3;1;1650000
95;2;3;1;1300000
110;1;3;1;1290000
140;1;2;1;1865000
165;1;3;2;1780000
85;1;2;1;850000
130;1;3;1;1400000
160;3;2;3;2700000
125;1;3;1;1650000
130;1;2;1;1340000
84;1;3;1;1300000
146;1;3;1;1400000
114;2;3;1;1790000
96;1;3;1;8,00E+05
169;1;3;1;1670000
140;1;3;1;1300000
209;3;3;3;2170000
260;1;3;2;3500000
137;1;3;3;1870000
110;1;3;1;1100000
187;1;3;1;2350000
120;2;2;1;1750000
150;1;3;2;1780000
40;1;1;1;560000
160;1;3;2;1600000
90;1;2;1;940000
144;1;3;1;1300000
96;1;3;1;820000
123;2;3;2;1739000
180;1;3;2;1650000
109;1;3;1;1350000
150;1;3;1;1500000
98;1;2;1;1600000
70;1;2;2;1800000
207;1;2;2;2750000
105;1;1;1;996000
94;1;2;1;1290000
156;1;2;2;2290000
223;1;1;2;2600000
105;1;2;1;1500000
130;1;2;1;1500000
135;1;3;1;1430000
110;1;3;2;980000
138;1;3;1;1500000
142;1;3;1;1150000
130;1;3;1;1500000
280;1;3;2;2700000
156;1;2;2;2289000
103;2;3;1;1350000
27;1;1;1;350000
148;1;3;1;1450000
140;1;3;1;1500000
154;1;3;1;1600000
130;2;3;1;1484000
180;1;2;2;2,00E+06
170;1;3;1;2350000
149;1;3;1;1690000
250;1;2;1;2500000
130;1;2;2;1450000
138;1;3;1;1490000
89;1;3;1;850000
120;1;2;1;1780000
142;1;3;1;1450000
122;1;3;1;1650000
153;1;3;1;2138000
150;1;3;1;1500000
203;3;3;2;3150000
115;1;3;1;1350000
140;1;3;1;1200000
135;1;2;1;1650000
96;1;3;1;850000
111;1;2;1;1490000
220;1;3;2;1900000
168;1;1;1;1500000
150;1;3;1;1150000
180;1;3;1;1700000
151;1;2;1;1900000
70;2;3;2;1150000
154;1;3;1;1600000
188;1;3;1;1600000
150;2;3;3;2900000
120;1;3;1;1600000
132;1;3;2;1500000
98;1;1;1;960000
85;1;2;1;850000
95;2;3;1;1300000
125;1;3;2;1750000
90;1;2;1;1800000
136;1;1;1;1500000
210;2;3;2;2590000
140;1;3;1;1450000
230;1;3;2;2400000
140;1;3;1;1540000
125;1;3;1;1650000
115;1;3;1;1150000
183;1;3;3;2100000
110;1;3;1;1290000
206;1;3;2;2700000
115;1;3;1;1770000
172;1;3;1;1800000
160;1;3;2;1580000
180;1;3;1;1499000
218;1;3;1;2500000
164;1;3;1;1375000
142;1;3;2;1700000
220;1;3;2;2750000
95;1;3;2;1200000
188;1;3;2;2680000
130;1;3;1;1650000
169;1;3;1;1240000
85;1;2;1;850000
150;1;3;2;1740000
230;1;3;2;2650000
85;1;1;1;940000
129;1;3;1;1600000
163;1;3;2;2200000
110;1;2;1;1200000
140;1;3;1;1600000
110;1;2;1;1290000
204;1;3;1;2048000
99;1;3;1;1330000
140;1;3;1;1350000
135;1;3;1;1420000
46;1;1;1;1061948
146;1;3;1;1400000
187;1;3;2;2600000
114;2;3;1;1790000
132;1;2;3;2600000
45;1;1;1;1470188
117;1;3;1;1125000
95;2;3;1;1300000
95;1;3;1;990000
117;1;2;1;1580000
106;1;3;1;1300000
169;1;3;2;1950000
107;1;3;1;1200000
136;1;3;1;1600000
120;1;3;1;1300000
88;1;2;2;1650000
144;1;3;1;1915000
125;1;3;1;1500000
222;2;3;2;4400000
115;1;3;1;1300000
170;1;3;1;1850000
104;1;2;1;2129000
160;1;1;2;1700000
136;1;3;3;1870000
98;1;3;1;1180000
207;3;1;2;3200000
80;1;2;1;1070000
126;1;3;1;1588000
35;1;1;1;886344
100;1;3;1;1060000
112;1;3;2;1650000
129;1;3;1;1460000
172;1;3;1;1720000
97;1;2;1;1080000
156;1;3;2;1850000
139;1;2;1;1400000
80;1;3;1;1252000
120;1;3;1;1250000
94;1;2;1;1350000
186;1;3;3;2430000
62;1;2;1;1290000
142;1;3;2;1700000
119;1;3;2;1700000
96;1;3;1;990000
198;1;3;1;2090000
103;2;2;1;1330000
30;1;1;1;774354
30;1;1;1;774353
30;1;1;1;774354
30;1;1;1;774353
143;1;3;1;1100000
225;1;2;2;3290000
204;1;3;2;2050000
219;2;2;1;2300000
30;1;1;1;730000
128;1;3;1;880000
94;1;3;1;989000
115;1;3;1;1300000
155;1;3;2;1600000
203;1;3;2;2100000
203;1;3;1;2400000
230;1;2;2;3200000
120;1;3;1;1700000
120;1;3;1;1050000
160;1;3;2;1580000
176;1;2;2;3035000
100;2;1;1;1300000
